C_INSTREAM	C_UPSTREAM
0.89528464898252	0.80153460270375	
0.94312153437548	0.88947822860276	
0.93092786585353	0.8666266914226	
0.8642134022565	0.74686480463976	
0.64899651327663	0.64899651327663	
0.84750750129155	0.71826896474545	
0.88700130492407	0.786771314937	
0.95725284974285	0.91633301834081	
0.95725284974285	0.91633301834081	
0.87879459994222	0.77227994888761	
0.8878261788145	0.78823532378836	
0.97069319865099	0.94224528590729	
0.86823929361459	0.75383947097636	
0.97884781994646	0.95814305461393	
0.8878261788145	0.78823532378836	
0.90532683361079	0.81961667565573	
0.89113335249332	0.79411865192598	
0.84750750129155	0.71826896474545	
0.9528142162882	0.90785493076089	
0.83267107854272	0.69334112504149	
0.86341046685282	0.74547763427101	
0.89528464898252	0.80153460270375	
0.86743261777979	0.7524393463883	
0.83966620050158	0.70503932826477	
0.9528142162882	0.90785493076089	
0.89113335249332	0.79411865192598	
0.86743261777979	0.7524393463883	
0.81657491463437	0.66679459121013	
0.81581623985913	0.66555613721789	
0.99351444215384	0.98707094676825	
